path	status	review_depth	finding_ids	evidence
crates/syndic-storage/src/mutation/accepted.rs	audited	full_bodies		Examined 1-236. Exact typed delivery intents/current versus expected-domain command wrappers; transition macro examined. Existing enum-driven mutation retains source-lifecycle distinctions.
crates/syndic-storage/src/mutation/accepted/transition.rs	audited	full_bodies	SL-R01	Examined 1-353. Checked route/gate counter deltas, leaf transition proof and atomic source-index updates; no scan or loss of delivering versus rejected state allowed.
crates/syndic-storage/src/mutation/admission.rs	audited	full_bodies		Examined 1-205. Idle/accepted command selection and reserved promotion source custody are necessary; fixed public request fields bind draft/root/history/materialization and gate.
crates/syndic-storage/src/mutation/admission/accepted.rs	audited	full_bodies	SL-001	Examined 1-431. Accepted route extension versus fresh next-turn generation remains distinct; exact immutable input and order indexes retained. Candidate direct reader imports.
crates/syndic-storage/src/mutation/admission/idle.rs	audited	full_bodies	SL-001;SL-002	Examined 1-361. Idle turn/item/context publication and stale transcript/build replacement retained; candidate direct reader imports and parent-index reuse.
crates/syndic-storage/src/mutation/admission/shared.rs	audited	full_bodies	SL-001	Examined 1-524. Full load_base candidate/session/history/asset proof and fixed reservation/write closure reviewed. Candidate direct imports and identical parent-index helper reuse.
crates/syndic-storage/src/mutation/admission/successor.rs	audited	full_bodies		Examined 1-94. Authenticate checks exact intended/current accepted input and order plus one-step leaf promotion; durable successor observation cannot reconstruct linear custody.
crates/syndic-storage/src/mutation/admission_helpers.rs	audited	full_bodies	SL-001	Examined 1-48. Bounded ancestor-skip turn shape retained; parent-index constructor duplicates admission/shared exactly.
crates/syndic-storage/src/mutation/binding.rs	audited	full_bodies		Examined 1-597. Intent data and wrappers reviewed including test-fault scope; stable nominal requests retain operation-specific identities.
crates/syndic-storage/src/mutation/binding/abandon.rs	audited	full_bodies	SL-003	Examined 1-503. Loss target, rejected leaf, checked reroute/terminal counts and atomic retirement reviewed; duplicate published-turn check can share only after branch gate checks.
crates/syndic-storage/src/mutation/binding/active.rs	audited	full_bodies	SL-003	Examined 1-538. Activation, CAS-turn identity and route publication closures reviewed; possible shared binding publication effects preserve snapshots and route updates.
crates/syndic-storage/src/mutation/binding/cancel.rs	audited	full_bodies	SL-003	Examined 1-202. Nondispatch/no-source/no-queue gate proves cancellation; reservation and membership remain atomic with valid binding.
crates/syndic-storage/src/mutation/binding/publish.rs	audited	full_bodies		Examined 1-136. Public valid/stale request records preserve exact execution, represented prefix, native count, tool profile and lineage facts.
crates/syndic-storage/src/mutation/binding/transition.rs	audited	full_bodies	SL-003	Examined 1-216. Valid/stale/unbound preparation shares transition base; records carry optional reservation/membership for semantically different outcomes.
crates/syndic-storage/src/mutation/binding/validation.rs	audited	full_bodies	SL-R01	Examined 1-500. Every lineage/prefix/reservation body reviewed; retirement returns Some on every success, while historical traversal is bounded by selected-path helpers.
crates/syndic-storage/src/mutation/compaction/admission.rs	audited	full_bodies		Examined 1-387. Exact idle admission, derived snapshot identity, provider live/stop target and terminal witness logic reviewed; distinct checks and error channels retained.
crates/syndic-storage/src/mutation/compaction/api.rs	audited	full_bodies		Examined 1-161. Current/expected-domain compaction command wrappers and abandonment-to-settlement adaptation are thin and behavior-specific.
crates/syndic-storage/src/mutation/compaction/continuation.rs	audited	full_bodies	SL-002;SL-R01	Examined 1-476. Accepted-next election precedes continuation; pure pending-turn/activity construction repeats admission and promotion, while receipt and preserved draft remain distinct.
crates/syndic-storage/src/mutation/compaction/mod.rs	audited	full_bodies		Examined 1-446. All typed compaction requests and fixed lifecycle-content seal checked; immutable request metadata and system-derived identities retained.
crates/syndic-storage/src/mutation/compaction/observation.rs	audited	full_bodies		Examined 1-285. Claim/request/provider event mutations reviewed; provider terminal and CAS-turn write sets differ and remain atomic.
crates/syndic-storage/src/mutation/compaction/settlement.rs	audited	full_bodies	SL-003;SL-R01	Examined 1-373. All settlement eligibility, terminal event, retirement and exact receipt composition reviewed; successful-compaction predicate repeats continuation.
crates/syndic-storage/src/mutation/promotion.rs	audited	full_bodies		Examined 1-182. Promotion binds opaque earliest candidate, stable ids and source domain revision; fixed reservation list preserves all atomic effects.
crates/syndic-storage/src/mutation/promotion/records.rs	audited	full_bodies	SL-002	Examined 1-228. Full immutable candidate equality before promotion; pending-turn/item construction repeats idle/continuation and read-side exact oracle.
crates/syndic-storage/src/mutation/promotion/records/projection.rs	audited	full_bodies	SL-002	Examined 1-145. Projection creation repeats initial activity pair; transcript-build read and head identity validation must stay at current boundary.
